iter	Passed	Remaining
289	580	1420
290	582	1418
291	584	1416
292	586	1414
293	588	1412
294	590	1410
295	592	1408
296	593	1405
297	595	1403
298	597	1401
299	599	1399
300	601	1397
301	603	1394
302	605	1392
303	607	1390
304	609	1388
305	611	1386
306	612	1383
307	614	1381
308	616	1379
309	618	1376
310	620	1375
311	622	1373
312	624	1371
313	626	1369
314	628	1367
315	630	1365
316	632	1363
317	634	1361
318	636	1358
319	638	1356
320	640	1354
321	642	1352
322	644	1349
323	646	1347
324	647	1345
325	649	1343
326	651	1341
327	653	1339
328	655	1337
329	657	1335
330	659	1333
331	661	1331
332	663	1328
333	665	1326
334	667	1324
335	669	1322
336	671	1320
337	673	1318
338	675	1316
339	676	1314
340	678	1311
341	681	1310
342	683	1308
343	685	1306
344	687	1304
345	689	1302
346	690	1300
347	692	1297
348	694	1295
349	696	1293
350	698	1291
351	700	1289
352	702	1287
353	704	1286
354	706	1283
355	708	1281
356	710	1279
357	712	1277
358	714	1275
359	716	1273
360	718	1271
361	720	1269
362	722	1267
363	724	1265
364	726	1263
365	728	1261
366	730	1259
367	731	1257
368	733	1254
369	735	1252
370	737	1250
371	739	1248
372	741	1246
373	743	1244
374	745	1242
375	747	1240
376	749	1238
377	751	1236
378	753	1234
379	755	1232
380	757	1230
381	759	1228
382	761	1226
383	763	1224
384	765	1222
385	767	1220
386	769	1218
387	770	1215
388	772	1213
389	775	1212
390	777	1210
391	778	1208
392	780	1206
393	782	1204
394	784	1202
395	786	1200
396	788	1198
397	790	1196
398	792	1194
399	794	1192
400	796	1190
401	798	1187
402	800	1186
403	802	1183
404	804	1182
405	806	1180
406	808	1178
407	810	1176
408	812	1174
409	814	1172
410	816	1170
411	818	1168
412	820	1166
413	822	1164
414	824	1162
415	826	1159
416	828	1157
417	830	1155
418	831	1153
419	834	1151
420	836	1150
421	838	1148
422	840	1146
423	842	1144
424	844	1142
425	846	1140
426	848	1138
427	850	1136
428	852	1134
429	854	1133
430	857	1132
431	859	1130
432	861	1128
433	863	1126
434	865	1124
435	867	1122
436	869	1120
437	871	1118
438	873	1116
439	875	1114
440	877	1112
441	879	1110
442	881	1108
443	883	1106
444	885	1104
445	887	1102
446	889	1100
447	891	1098
448	893	1096
449	895	1094
450	897	1092
451	899	1090
452	901	1088
453	903	1086
454	905	1084
